Compound,Source (ICSD ID or reference),A,A Oxidation State,B, B Oxidation State,B',B' Oxidation State,X,X Oxidation State,A Radius,B Radius,B' Radius,X Radius
YMnO3,56617,Y,3,Mn,3,Mn,3,O,-2,0.9,0.645,0.645,1.4
YNiO3,191794,Y,3,Ni,3,Ni,3,O,-2,0.9,0.56,0.56,1.4
YScO3,237285,Y,3,Sc,3,Sc,3,O,-2,0.9,0.745,0.745,1.4
YScS3,23422,Y,3,Sc,3,Sc,3,S,-2,0.9,0.745,0.745,1.84
YTiO3,20903,Y,3,Ti,3,Ti,3,O,-2,0.9,0.67,0.67,1.4
YVO3,95577,Y,3,V,3,V,3,O,-2,0.9,0.64,0.64,1.4
ZnPbO3,196158,Zn,2,Pb,4,Pb,4,O,-2,0.74,0.775,0.775,1.4
Ag3AlF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Al,3,F,-1,1.22,1.15,0.535,1.33
Ag3CoF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Co,3,F,-1,1.22,1.15,0.61,1.33
Ag3CrF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Cr,3,F,-1,1.22,1.15,0.615,1.33
Ag3FeF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Fe,3,F,-1,1.22,1.15,0.55,1.33
Ag3GaF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Ga,3,F,-1,1.22,1.15,0.62,1.33
Ag3InF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,In,3,F,-1,1.22,1.15,0.8,1.33
Ag3VF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,V,3,F,-1,1.22,1.15,0.64,1.33
Ba2AlNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Al,3,Nb,5,O,-2,1.61,0.535,0.64,1.4
Ba2AlTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Al,3,Ta,5,O,-2,1.61,0.535,0.64,1.4
Ba2BeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Be,2,U,6,O,-2,1.61,0.45,0.73,1.4
Ba2BiIrO6,174291,Ba,2,Bi,3,Ir,5,O,-2,1.61,1.03,0.57,1.4
Ba2BiNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Bi,3,Nb,5,O,-2,1.61,1.03,0.64,1.4
Ba2BiSbO6,50040,Ba,2,Bi,3,Sb,5,O,-2,1.61,1.03,0.6,1.4
Ba2BiTaO6,153122,Ba,2,Bi,3,Ta,5,O,-2,1.61,1.03,0.64,1.4
Ba2BiVO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Bi,3,V,5,O,-2,1.61,1.03,0.54,1.4
Ba2CaMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Mo,6,O,-2,1.61,1,0.59,1.4
Ba2CaNpO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Np,6,O,-2,1.61,1,0.72,1.4
Ba2CaOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Os,6,O,-2,1.61,1,0.545,1.4
Ba2CaPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Pu,6,O,-2,1.61,1,0.71,1.4
Ba2CaReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Re,6,O,-2,1.61,1,0.55,1.4
Ba2CaTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Te,6,O,-2,1.61,1,0.56,1.4
Ba2CaUO6,246110,Ba,2,Ca,2,U,6,O,-2,1.61,1,0.73,1.4
Ba2CaWO6,171985,Ba,2,Ca,2,W,6,O,-2,1.61,1,0.6,1.4
Ba2CdMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Mo,6,O,-2,1.61,0.95,0.59,1.4
Ba2CdOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Os,6,O,-2,1.61,0.95,0.545,1.4
Ba2CdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Re,6,O,-2,1.61,0.95,0.55,1.4
Ba2CdTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Te,6,O,-2,1.61,0.95,0.56,1.4
Ba2CdUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,U,6,O,-2,1.61,0.95,0.73,1.4
Ba2CdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,W,6,O,-2,1.61,0.95,0.6,1.4
Ba2CeIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Ir,4,O,-2,1.61,0.87,0.625,1.4
Ba2CeNbO6,186211,Ba,2,Ce,3,Nb,5,O,-2,1.61,1.01,0.64,1.4
Ba2CePtO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Pt,4,O,-2,1.61,0.87,0.625,1.4
Ba2CePuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,3,Pu,5,O,-2,1.61,1.01,0.74,1.4
Ba2CeSnO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,4,Sn,4,O,-2,1.61,0.87,0.69,1.4
Ba2CeTaO6,186212,Ba,2,Ce,3,Ta,5,O,-2,1.61,1.01,0.64,1.4
Ba2CeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ce,3,U,5,O,-2,1.61,1.01,0.76,1.4
Ba2CoMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Mo,6,O,-2,1.61,0.65,0.59,1.4
Ba2CoNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Nb,5,O,-2,1.61,0.61,0.64,1.4
Ba2CoReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Re,6,O,-2,1.61,0.65,0.55,1.4
Ba2CoTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,3,Ta,5,O,-2,1.61,0.61,0.64,1.4
Ba2CoTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,Te,6,O,-2,1.61,0.65,0.56,1.4
Ba2CoUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,U,6,O,-2,1.61,0.65,0.73,1.4
Ba2CoWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Co,2,W,6,O,-2,1.61,0.65,0.6,1.4
Ba2CrBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Bi,5,O,-2,1.61,0.615,0.76,1.4
Ba2CrMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Mo,5,O,-2,1.61,0.615,0.61,1.4
Ba2CrTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,Ta,5,O,-2,1.61,0.615,0.64,1.4
Ba2CrUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cr,3,U,5,O,-2,1.61,0.615,0.76,1.4
Ba2CuOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cu,2,Os,6,O,-2,1.61,0.73,0.545,1.4
Ba2CuUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cu,2,U,6,O,-2,1.61,0.73,0.73,1.4
Ba2DyBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Bi,5,O,-2,1.61,0.912,0.76,1.4
Ba2DyIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ir,5,O,-2,1.61,0.912,0.57,1.4
Ba2DyMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Mo,5,O,-2,1.61,0.912,0.61,1.4
Ba2DyNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Nb,5,O,-2,1.61,0.912,0.64,1.4
Ba2DyOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Os,5,O,-2,1.61,0.912,0.575,1.4
Ba2DyReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Re,5,O,-2,1.61,0.912,0.58,1.4
Ba2DyRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ru,5,O,-2,1.61,0.912,0.565,1.4
Ba2DySbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Sb,5,O,-2,1.61,0.912,0.6,1.4
Ba2DyTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,Ta,5,O,-2,1.61,0.912,0.64,1.4
Ba2DyUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,U,5,O,-2,1.61,0.912,0.76,1.4
Ba2DyWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Dy,3,W,5,O,-2,1.61,0.912,0.62,1.4
Ba2ErBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Bi,5,O,-2,1.61,0.89,0.76,1.4
Ba2ErIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ir,5,O,-2,1.61,0.89,0.57,1.4
Ba2ErMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Mo,5,O,-2,1.61,0.89,0.61,1.4
Ba2ErNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Nb,5,O,-2,1.61,0.89,0.64,1.4
Ba2ErOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Os,5,O,-2,1.61,0.89,0.575,1.4
Ba2ErReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Re,5,O,-2,1.61,0.89,0.58,1.4
Ba2ErRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ru,5,O,-2,1.61,0.89,0.565,1.4
Ba2ErSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Sb,5,O,-2,1.61,0.89,0.6,1.4
Ba2ErTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,Ta,5,O,-2,1.61,0.89,0.64,1.4
Ba2ErUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Er,3,U,5,O,-2,1.61,0.89,0.76,1.4
Ba2EuBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Bi,5,O,-2,1.61,0.947,0.76,1.4
Ba2EuIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ir,5,O,-2,1.61,0.947,0.57,1.4
Ba2EuMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Mo,5,O,-2,1.61,0.947,0.61,1.4
Ba2EuNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Nb,5,O,-2,1.61,0.947,0.64,1.4
Ba2EuOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Os,5,O,-2,1.61,0.947,0.575,1.4
Ba2EuReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Re,5,O,-2,1.61,0.947,0.58,1.4
Ba2EuRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ru,5,O,-2,1.61,0.947,0.565,1.4
Ba2EuSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Sb,5,O,-2,1.61,0.947,0.6,1.4
Ba2EuTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,Ta,5,O,-2,1.61,0.947,0.64,1.4
Ba2EuUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,U,5,O,-2,1.61,0.947,0.76,1.4
Ba2EuWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Eu,3,W,5,O,-2,1.61,0.947,0.62,1.4
Ba2FeBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Bi,5,O,-2,1.61,0.55,0.76,1.4
Ba2FeMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Mo,5,O,-2,1.61,0.55,0.61,1.4
Ba2FeNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Nb,5,O,-2,1.61,0.55,0.64,1.4
Ba2FeReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Re,5,O,-2,1.61,0.55,0.58,1.4
Ba2FeSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Sb,5,O,-2,1.61,0.55,0.6,1.4
Ba2FeTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,Ta,5,O,-2,1.61,0.55,0.64,1.4
Ba2FeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,3,U,5,O,-2,1.61,0.55,0.76,1.4
Ba2FeWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Fe,2,W,6,O,-2,1.61,0.61,0.6,1.4
Ba2GaNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ga,3,Nb,5,O,-2,1.61,0.62,0.64,1.4
Ba2GaTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ga,3,Ta,5,O,-2,1.61,0.62,0.64,1.4
Ba2GdBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Bi,5,O,-2,1.61,0.938,0.76,1.4
Ba2GdIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ir,5,O,-2,1.61,0.938,0.57,1.4
Ba2GdMoO6,236360,Ba,2,Gd,3,Mo,5,O,-2,1.61,0.938,0.61,1.4
Ba2GdNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Nb,5,O,-2,1.61,0.938,0.64,1.4
Ba2GdOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Os,5,O,-2,1.61,0.938,0.575,1.4
Ba2GdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Re,5,O,-2,1.61,0.938,0.58,1.4
Ba2GdRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ru,5,O,-2,1.61,0.938,0.565,1.4
Ba2GdSbO6,33618,Ba,2,Gd,3,Sb,5,O,-2,1.61,0.938,0.6,1.4
Ba2GdTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,Ta,5,O,-2,1.61,0.938,0.64,1.4
Ba2GdUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,U,5,O,-2,1.61,0.938,0.76,1.4
Ba2GdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Gd,3,W,5,O,-2,1.61,0.938,0.62,1.4
Ba2GeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ge,4,U,4,O,-2,1.61,0.53,0.89,1.4
Ba2HfUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Hf,4,U,4,O,-2,1.61,0.71,0.89,1.4
